Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	CM176512.1	6208	8676	+	gyrA_S83Y	Enterococcus faecium quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	823	823	100.00	99.64	823	WP_137277832.1	DNA gyrase subunit A GyrA	NA	NA
NA	CM176512.1	63450	63944	-	dfrG	trimethoprim-resistant dihydrofolate reductase DfrG	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	165	165	100.00	100.00	165	WP_000868795.1	trimethoprim-resistant dihydrofolate reductase DfrG	NA	NA
NA	CM176512.1	64219	65343	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIALX	375	639	58.69	100.00	375	WP_000691737.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
NA	CM176512.1	1203383	1205830	+	parC_S80R	Enterococcus faecium quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	816	816	100.00	99.75	816	WP_115256011.1	DNA topoisomerase IV subunit A ParC	NA	NA
NA	CM176512.1	1523280	1525316	-	pbp5_A499T	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	95.88	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	CM176512.1	1523280	1525316	-	pbp5_E629V	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	95.88	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	CM176512.1	1523280	1525316	-	pbp5_M426I	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	95.88	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	CM176512.1	1523280	1525316	-	pbp5_M485A	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	95.88	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	CM176512.1	1523280	1525316	-	pbp5_N496K	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	95.88	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	CM176512.1	1523280	1525316	-	pbp5_S466SS	Enterococcus faecium beta-lactam resistant Pbp5	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTX	679	678	100.00	95.88	679	WP_070676928.1	penicillin-binding protein 5	NA	NA
NA	CM176512.1	1740045	1741961	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_000691736.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
NA	CM176512.1	2297940	2298485	-	aac(6')-I	aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTX	182	182	100.00	100.00	182	WP_002289795.1	aminoglycoside 6'-N-acetyltransferase	NA	NA
NA	CM176512.1	2738554	2740029	-	msr(C)	ABC-F type ribosomal protection protein Msr(C)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B/TYLOSIN	BLASTX	492	492	100.00	98.98	492	WP_063854349.1	ABC-F type ribosomal protection protein Msr(C)	NA	NA
NA	JBYRGH010000002.1	279428	280219	-	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTX	264	264	100.00	100.00	264	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	NA	NA
NA	JBYRGH010000002.1	280315	280854	-	sat4	streptothricin N-acetyltransferase Sat4	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	EXACTX	180	180	100.00	100.00	180	WP_000627290.1	streptothricin N-acetyltransferase Sat4	NA	NA
NA	JBYRGH010000002.1	280854	281759	-	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	302	302	100.00	100.00	302	WP_001255866.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	NA	NA
NA	JBYRGH010000002.1	285021	285755	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_001038792.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
